Link	LinkState	VOT	VOTFlow	TotalCostForThisVOT
79258	7925801	20.0	3958.9183980343973	0.0017991719485496785
79258	7925801	25.0	1979.4591990171987	0.0022489649356870977
79258	7925801	15.0	7917.836796068795	0.0013493789614122587
79258	7925801	30.0	1979.4591990171987	0.0026987579228245173
79517	7951701	10.0	893.194594594595	0.0010345512749220668
79517	7951701	20.0	893.194594594595	0.0020691025498441335
79517	7951701	25.0	446.5972972972975	0.002586378187305167
79517	7951701	15.0	1786.38918918919	0.0015518269123831001
79517	7951701	30.0	446.5972972972975	0.0031036538247662003
79901	7990101	10.0	2947.394000000005	3.5463940905074604E-4
79901	7990101	20.0	2947.394000000005	7.092788181014921E-4
79901	7990101	25.0	1473.6970000000024	8.86598522626865E-4
79901	7990101	15.0	5894.78800000001	5.31959113576119E-4
79901	7990101	30.0	1473.6970000000024	0.001063918227152238
79900	7990001	10.0	0.0	6.444444444444444E-4
79900	7990001	20.0	0.0	0.001288888888888889
79900	7990001	25.0	0.0	0.0016111111111111111
79900	7990001	15.0	0.0	9.666666666666667E-4
79900	7990001	30.0	0.0	0.0019333333333333333
79260	7926001	10.0	1285.551601965602	2.1397724794789143E-4
79260	7926001	20.0	1285.551601965602	4.2795449589578285E-4
79260	7926001	25.0	642.775800982801	5.349431198697285E-4
79260	7926001	15.0	2571.103203931204	3.2096587192183713E-4
79260	7926001	30.0	642.775800982801	6.419317438436743E-4
79516	7951601	10.0	0.0	9.523805555555556E-4
79516	7951601	20.0	0.0	0.0019047611111111112
79516	7951601	25.0	0.0	0.002380951388888889
79516	7951601	15.0	0.0	0.0014285708333333334
79516	7951601	30.0	0.0	0.002857141666666667
79903	7990301	10.0	0.0	0.001088888888888889
79903	7990301	20.0	0.0	0.002177777777777778
79903	7990301	25.0	0.0	0.0027222222222222222
79903	7990301	15.0	0.0	0.0016333333333333334
79903	7990301	30.0	0.0	0.003266666666666667
79519	7951901	10.0	893.194594594595	7.28538088127124E-4
79519	7951901	20.0	893.194594594595	0.001457076176254248
79519	7951901	25.0	446.5972972972975	0.0018213452203178098
79519	7951901	15.0	1786.38918918919	0.001092807132190686
79519	7951901	30.0	446.5972972972975	0.002185614264381372
79902	7990201	10.0	0.0	0.0016222222222222222
79902	7990201	20.0	0.0	0.0032444444444444443
79902	7990201	25.0	0.0	0.004055555555555555
79902	7990201	15.0	0.0	0.0024333333333333334
79902	7990201	30.0	0.0	0.004866666666666667
79518	7951801	10.0	4399.235405405405	0.0015387318471044313
79518	7951801	20.0	4399.235405405405	0.0030774636942088626
79518	7951801	25.0	2199.6177027027024	0.003846829617761078
79518	7951801	15.0	8798.47081081081	0.002308097770656647
79518	7951801	30.0	2199.6177027027024	0.004616195541313294
79264	7926401	10.0	0.0	7.333333333333334E-4
79264	7926401	20.0	0.0	0.001466666666666667
79264	7926401	25.0	0.0	0.0018333333333333333
79264	7926401	15.0	0.0	0.0011
79264	7926401	30.0	0.0	0.0022
79269	7926901	10.0	644.7988452088457	0.0011129489985912116
79269	7926901	20.0	644.7988452088457	0.002225897997182423
79269	7926901	25.0	319.5774619164622	0.002782372496478029
79269	7926901	15.0	1289.5976904176914	0.0016694234978868175
79269	7926901	30.0	322.39942260442285	0.003338846995773635
79525	7952501	10.0	4399.235405405405	4.517304364881915E-4
79525	7952501	20.0	4399.235405405405	9.03460872976383E-4
79525	7952501	25.0	2199.6177027027024	0.0011293260912204788
79525	7952501	15.0	8798.47081081081	6.775956547322873E-4
79525	7952501	30.0	2199.6177027027024	0.0013551913094645746
79268	7926801	10.0	640.7527567567566	0.0012407719083593412
79268	7926801	20.0	640.7527567567566	0.0024815438167186824
79268	7926801	25.0	323.19833906633914	0.0031019297708983528
79268	7926801	15.0	1281.5055135135133	0.0018611578625390118
79268	7926801	30.0	320.3763783783783	0.0037223157250780236
79273	7927301	10.0	1285.551601965602	2.714050687603981E-4
79273	7927301	20.0	1285.551601965602	5.428101375207962E-4
79273	7927301	25.0	642.775800982801	6.785126719009952E-4
79273	7927301	15.0	2571.103203931204	4.071076031405971E-4
79273	7927301	30.0	642.775800982801	8.142152062811942E-4
79531	7953101	10.0	0.0	0.0017142861111111112
79531	7953101	20.0	0.0	0.0034285722222222224
79531	7953101	25.0	0.0	0.004285715277777777
79531	7953101	15.0	0.0	0.0025714291666666667
79531	7953101	30.0	0.0	0.005142858333333333
79274	7927401	10.0	1285.551601965602	3.6187342501386413E-4
79274	7927401	20.0	1285.551601965602	7.237468500277283E-4
79274	7927401	25.0	642.775800982801	9.046835625346602E-4
79274	7927401	15.0	2571.103203931204	5.428101375207962E-4
79274	7927401	30.0	642.775800982801	0.0010856202750415924
79279	7927901	10.0	644.7988452088457	8.56114614300932E-4
79279	7927901	20.0	644.7988452088457	0.001712229228601864
79279	7927901	25.0	319.5774619164622	0.00214028653575233
79279	7927901	15.0	1289.5976904176914	0.001284171921451398
79279	7927901	30.0	322.39942260442285	0.002568343842902796
79278	7927801	10.0	640.7527567567566	7.273490497278897E-4
79278	7927801	20.0	640.7527567567566	0.0014546980994557795
79278	7927801	25.0	323.19833906633914	0.0018183726243197241
79278	7927801	15.0	1281.5055135135133	0.0010910235745918346
79278	7927801	30.0	320.3763783783783	0.0021820471491836692
75317	7531701	10.0	1049.769375921375	9.825839465574873E-4
75317	7531701	20.0	1049.769375921375	0.0019651678931149746
75317	7531701	25.0	524.8846879606875	0.0024564598663937183
